time_step,flow_5min,flow_hour,speed_kmh
0,119.0,1428.0,71.1
1,126.0,1512.0,70.4
2,125.0,1500.0,70.6
3,119.0,1428.0,70.0
4,111.0,1332.0,69.7
5,96.0,1152.0,69.4
6,93.0,1116.0,69.5
7,97.0,1164.0,69.6
8,96.0,1152.0,69.2
9,88.0,1056.0,69.3
10,84.0,1008.0,69.1
11,77.0,924.0,69.7
12,79.0,948.0,69.8
13,85.0,1020.0,69.8
14,75.0,900.0,69.3
15,84.0,1008.0,70.0
16,75.0,900.0,70.0
17,77.0,924.0,69.4
18,72.0,864.0,69.1
19,74.0,888.0,69.4
20,77.0,924.0,69.5
21,72.0,864.0,69.4
22,67.0,804.0,69.0
23,64.0,768.0,69.0
24,67.0,804.0,69.3
25,64.0,768.0,69.5
26,64.0,768.0,69.4
27,64.0,768.0,69.8
28,75.0,900.0,69.5
29,67.0,804.0,69.2
30,62.0,744.0,69.1
31,67.0,804.0,69.3
32,61.0,732.0,68.9
33,61.0,732.0,69.0
34,62.0,744.0,69.1
35,57.0,684.0,68.9
36,56.0,672.0,68.8
37,64.0,768.0,68.5
38,61.0,732.0,68.8
39,79.0,948.0,68.9
40,70.0,840.0,69.6
41,67.0,804.0,69.5
42,70.0,840.0,69.3
43,74.0,888.0,69.2
44,82.0,984.0,69.1
45,85.0,1020.0,69.5
46,82.0,984.0,69.6
47,82.0,984.0,69.4
48,85.0,1020.0,69.2
49,88.0,1056.0,69.3
50,101.0,1212.0,69.2
51,111.0,1332.0,69.4
52,120.0,1440.0,69.5
53,136.0,1632.0,69.5
54,144.0,1728.0,70.0
55,165.0,1980.0,69.7
56,167.0,2004.0,69.8
57,190.0,2280.0,70.5
58,188.0,2256.0,70.3
59,186.0,2232.0,70.3
60,187.0,2244.0,70.0
61,193.0,2316.0,70.1
62,224.0,2688.0,70.2
63,239.0,2868.0,70.1
64,253.0,3036.0,70.2
65,272.0,3264.0,70.2
66,285.0,3420.0,70.5
67,303.0,3636.0,70.1
68,321.0,3852.0,70.1
69,337.0,4044.0,70.4
70,327.0,3924.0,70.5
71,306.0,3672.0,70.4
72,308.0,3696.0,67.8
73,318.0,3816.0,66.5
74,332.0,3984.0,66.2
75,353.0,4236.0,66.0
76,368.0,4416.0,65.7
77,373.0,4476.0,65.9
78,385.0,4620.0,66.0
79,388.0,4656.0,66.0
80,391.0,4692.0,65.7
81,416.0,4992.0,65.8
82,402.0,4824.0,65.8
83,385.0,4620.0,65.8
84,378.0,4536.0,66.1
85,385.0,4620.0,65.7
86,402.0,4824.0,65.6
87,411.0,4932.0,66.3
88,410.0,4920.0,65.8
89,420.0,5040.0,65.8
90,428.0,5136.0,65.7
91,428.0,5136.0,65.7
92,432.0,5184.0,65.4
93,428.0,5136.0,65.6
94,416.0,4992.0,65.5
95,408.0,4896.0,65.3
96,391.0,4692.0,65.0
97,384.0,4608.0,65.4
98,384.0,4608.0,65.2
99,391.0,4692.0,65.2
100,384.0,4608.0,65.4
101,382.0,4584.0,65.2
102,379.0,4548.0,65.2
103,381.0,4572.0,65.1
104,388.0,4656.0,65.0
105,389.0,4668.0,64.9
106,384.0,4608.0,64.8
107,379.0,4548.0,64.9
108,365.0,4380.0,64.6
109,361.0,4332.0,64.5
110,359.0,4308.0,64.0
111,363.0,4356.0,63.8
112,368.0,4416.0,63.9
113,370.0,4440.0,63.8
114,373.0,4476.0,63.9
115,376.0,4512.0,63.8
116,381.0,4572.0,63.8
117,384.0,4608.0,63.6
118,378.0,4536.0,63.6
119,370.0,4440.0,63.5
120,366.0,4392.0,63.5
121,369.0,4428.0,63.5
122,376.0,4512.0,63.4
123,384.0,4608.0,63.1
124,382.0,4584.0,63.4
125,381.0,4572.0,63.2
126,376.0,4512.0,63.3
127,381.0,4572.0,63.2
128,391.0,4692.0,63.1
129,391.0,4692.0,62.7
130,391.0,4692.0,62.9
131,385.0,4620.0,62.5
132,385.0,4620.0,62.7
133,388.0,4656.0,62.7
134,402.0,4824.0,62.7
135,391.0,4692.0,62.6
136,411.0,4932.0,62.4
137,419.0,5028.0,62.4
138,395.0,4740.0,62.5
139,396.0,4752.0,62.1
140,399.0,4788.0,62.2
141,393.0,4716.0,62.2
142,402.0,4824.0,62.3
143,395.0,4740.0,62.2
144,402.0,4824.0,62.6
145,396.0,4752.0,62.8
146,402.0,4824.0,62.8
147,407.0,4884.0,62.6
148,406.0,4872.0,62.6
149,408.0,4896.0,62.4
150,402.0,4824.0,62.7
151,402.0,4824.0,62.6
152,411.0,4932.0,62.1
153,408.0,4896.0,61.3
154,410.0,4920.0,60.8
155,402.0,4824.0,61.2
156,404.0,4848.0,61.4
157,402.0,4824.0,61.0
158,410.0,4920.0,61.3
159,419.0,5028.0,61.3
160,419.0,5028.0,61.2
161,414.0,4968.0,61.4
162,414.0,4968.0,61.4
163,422.0,5064.0,61.3
164,425.0,5100.0,61.6
165,425.0,5100.0,61.0
166,426.0,5112.0,61.2
167,424.0,5088.0,60.9
168,416.0,4992.0,60.4
169,422.0,5064.0,60.0
170,426.0,5112.0,60.0
171,427.0,5124.0,59.6
172,427.0,5124.0,59.2
173,428.0,5136.0,58.7
174,428.0,5136.0,58.7
175,425.0,5100.0,57.8
176,430.0,5160.0,58.3
177,436.0,5232.0,57.5
178,434.0,5208.0,53.9
179,432.0,5184.0,55.2
180,428.0,5136.0,55.1
181,432.0,5184.0,54.4
182,434.0,5208.0,55.0
183,437.0,5244.0,54.5
184,433.0,5196.0,54.6
185,432.0,5184.0,54.4
186,429.0,5148.0,52.0
187,427.0,5124.0,54.6
188,436.0,5232.0,51.5
189,434.0,5208.0,49.0
190,432.0,5184.0,50.6
191,424.0,5088.0,52.5
192,422.0,5064.0,54.7
193,429.0,5148.0,54.2
194,430.0,5160.0,54.5
195,433.0,5196.0,55.2
196,430.0,5160.0,56.7
197,429.0,5148.0,57.2
198,416.0,4992.0,57.4
199,429.0,5148.0,57.7
200,430.0,5160.0,57.9
201,434.0,5208.0,58.2
202,432.0,5184.0,58.4
203,424.0,5088.0,58.6
204,419.0,5028.0,58.9
205,426.0,5112.0,59.1
206,437.0,5244.0,59.3
207,443.0,5316.0,59.6
208,440.0,5280.0,59.4
209,430.0,5160.0,59.0
210,426.0,5112.0,59.1
211,414.0,4968.0,59.2
212,414.0,4968.0,59.5
213,413.0,4956.0,60.0
214,419.0,5028.0,60.0
215,396.0,4752.0,60.1
216,410.0,4920.0,61.2
217,406.0,4872.0,63.0
218,417.0,5004.0,65.3
219,410.0,4920.0,66.2
220,400.0,4800.0,67.0
221,411.0,4932.0,67.3
222,385.0,4620.0,67.4
223,400.0,4800.0,67.6
224,411.0,4932.0,67.4
225,404.0,4848.0,67.8
226,385.0,4620.0,68.2
227,381.0,4572.0,68.1
228,393.0,4716.0,68.5
229,402.0,4824.0,68.5
230,396.0,4752.0,68.2
231,396.0,4752.0,68.6
232,393.0,4716.0,68.4
233,376.0,4512.0,68.5
234,367.0,4404.0,68.3
235,369.0,4428.0,68.2
236,358.0,4296.0,68.1
237,373.0,4476.0,67.7
238,359.0,4308.0,67.8
239,352.0,4224.0,67.7
240,359.0,4308.0,67.8
241,368.0,4416.0,67.8
242,373.0,4476.0,68.0
243,335.0,4020.0,68.0
244,360.0,4320.0,68.0
