vehicle_id,depart_time,start_edge,end_edge,vtype
deepsort_1,0,n_t,t_s,car
deepsort_2,9,w_t,t_e,car
deepsort_3,10,w_t,t_e,car
deepsort_4,11,w_t,t_e,car
deepsort_5,19,w_t,t_e,car
deepsort_6,25,n_t,t_s,car
deepsort_7,27,e_t,t_n,car
deepsort_8,27,n_t,t_s,car
deepsort_9,30,e_t,t_w,car
deepsort_10,31,w_t,t_n,car
deepsort_11,31,n_t,t_e,car
deepsort_12,33,e_t,t_n,car
deepsort_13,34,s_t,t_n,car
deepsort_14,36,e_t,t_w,car
deepsort_15,39,e_t,t_n,car
deepsort_16,39,w_t,t_s,car
deepsort_17,41,s_t,t_n,car
deepsort_18,41,s_t,t_w,car
deepsort_19,43,e_t,t_n,car
deepsort_20,50,e_t,t_w,car
deepsort_21,57,w_t,t_s,car
deepsort_22,60,w_t,t_e,car
deepsort_23,65,e_t,t_s,car
deepsort_24,66,e_t,t_s,car
deepsort_25,66,w_t,t_e,car
deepsort_26,66,s_t,t_n,car
deepsort_27,75,s_t,t_n,car
deepsort_28,77,s_t,t_n,car
deepsort_29,80,e_t,t_s,car
deepsort_30,86,n_t,t_w,car
deepsort_31,97,e_t,t_w,car
deepsort_32,102,e_t,t_n,car
deepsort_33,103,n_t,t_s,car
deepsort_34,109,n_t,t_w,car
deepsort_35,110,n_t,t_e,car
deepsort_36,116,w_t,t_n,car
deepsort_37,117,n_t,t_w,car
deepsort_38,121,w_t,t_e,car
deepsort_39,125,e_t,t_n,car
deepsort_40,126,s_t,t_w,car
deepsort_41,131,n_t,t_s,car
deepsort_42,136,n_t,t_s,car
deepsort_43,137,n_t,t_s,car
deepsort_44,150,w_t,t_e,car
deepsort_45,151,e_t,t_w,car
deepsort_46,159,e_t,t_n,car
deepsort_47,164,e_t,t_s,car
deepsort_48,164,w_t,t_e,car
deepsort_49,164,s_t,t_n,car
deepsort_50,165,s_t,t_n,car
deepsort_51,169,e_t,t_w,car
deepsort_52,174,e_t,t_w,car
deepsort_53,175,e_t,t_w,car
deepsort_54,186,e_t,t_w,car
deepsort_55,186,s_t,t_e,car
deepsort_56,187,w_t,t_n,car
deepsort_57,188,n_t,t_s,car
deepsort_58,191,s_t,t_e,car
deepsort_59,193,n_t,t_w,car
deepsort_60,197,n_t,t_s,car
deepsort_61,200,w_t,t_e,car
deepsort_62,205,w_t,t_s,car
deepsort_63,208,e_t,t_n,car
deepsort_64,211,n_t,t_s,car
deepsort_65,216,e_t,t_n,car
deepsort_66,216,n_t,t_w,car
deepsort_67,217,e_t,t_w,car
deepsort_68,220,e_t,t_s,car
deepsort_69,221,w_t,t_e,car
deepsort_70,222,e_t,t_s,car
deepsort_71,225,n_t,t_w,car
deepsort_72,227,e_t,t_n,car
deepsort_73,234,e_t,t_w,car
deepsort_74,235,e_t,t_w,car
deepsort_75,237,e_t,t_w,car
deepsort_76,237,e_t,t_s,car
deepsort_77,242,w_t,t_e,car
deepsort_78,249,s_t,t_w,car
deepsort_79,254,s_t,t_e,car
deepsort_80,257,n_t,t_s,car
deepsort_81,258,w_t,t_e,car
deepsort_82,261,w_t,t_e,car
deepsort_83,261,n_t,t_s,car
deepsort_84,263,e_t,t_w,car
deepsort_85,263,e_t,t_s,car
deepsort_86,268,e_t,t_w,car
deepsort_87,273,w_t,t_n,car
deepsort_88,286,s_t,t_n,car
deepsort_89,288,e_t,t_n,car
deepsort_90,292,w_t,t_e,car
deepsort_91,292,w_t,t_s,car
deepsort_92,298,w_t,t_e,car
