vehicle_id,depart_time,start_edge,end_edge,vtype
deepsort_1,1,n_t,t_e,car
deepsort_2,1,w_t,t_n,car
deepsort_3,2,w_t,t_n,car
deepsort_4,9,n_t,t_w,car
deepsort_5,12,w_t,t_n,car
deepsort_6,13,n_t,t_e,car
deepsort_7,16,e_t,t_s,car
deepsort_8,16,s_t,t_w,car
deepsort_9,22,e_t,t_s,car
deepsort_10,23,w_t,t_e,car
deepsort_11,24,e_t,t_s,car
deepsort_12,28,e_t,t_s,car
deepsort_13,34,e_t,t_s,car
deepsort_14,36,e_t,t_s,car
deepsort_15,39,w_t,t_n,car
deepsort_16,40,w_t,t_n,car
deepsort_17,41,e_t,t_s,car
deepsort_18,41,s_t,t_w,car
deepsort_19,42,n_t,t_s,car
deepsort_20,46,s_t,t_n,car
deepsort_21,51,w_t,t_n,car
deepsort_22,54,w_t,t_n,car
deepsort_23,58,w_t,t_n,car
deepsort_24,65,n_t,t_w,car
deepsort_25,68,n_t,t_s,car
deepsort_26,69,s_t,t_w,car
deepsort_27,70,w_t,t_n,car
deepsort_28,72,w_t,t_n,car
deepsort_29,72,e_t,t_s,car
deepsort_30,73,n_t,t_e,car
deepsort_31,74,e_t,t_s,car
deepsort_32,77,w_t,t_s,car
deepsort_33,78,n_t,t_s,car
deepsort_34,79,n_t,t_e,car
deepsort_35,86,w_t,t_n,car
deepsort_36,87,e_t,t_s,car
deepsort_37,99,e_t,t_s,car
deepsort_38,100,e_t,t_s,car
deepsort_39,103,n_t,t_e,car
deepsort_40,113,w_t,t_n,car
deepsort_41,114,w_t,t_s,car
deepsort_42,121,n_t,t_w,car
deepsort_43,121,w_t,t_e,car
deepsort_44,124,n_t,t_e,car
deepsort_45,127,n_t,t_e,car
deepsort_46,127,e_t,t_s,car
deepsort_47,128,n_t,t_w,car
deepsort_48,130,w_t,t_n,car
deepsort_49,132,n_t,t_e,car
deepsort_50,135,s_t,t_w,car
deepsort_51,137,e_t,t_s,car
deepsort_52,138,e_t,t_s,car
deepsort_53,138,s_t,t_w,car
deepsort_54,141,s_t,t_w,car
deepsort_55,142,w_t,t_n,car
deepsort_56,147,n_t,t_s,car
deepsort_57,147,n_t,t_e,car
deepsort_58,148,w_t,t_n,car
deepsort_59,152,e_t,t_s,car
deepsort_60,153,s_t,t_w,car
deepsort_61,155,e_t,t_s,car
deepsort_62,158,n_t,t_s,car
deepsort_63,158,e_t,t_s,car
deepsort_64,162,n_t,t_e,car
deepsort_65,162,e_t,t_w,car
deepsort_66,164,n_t,t_e,car
deepsort_67,166,n_t,t_w,car
deepsort_68,167,e_t,t_s,car
deepsort_69,179,w_t,t_n,car
deepsort_70,180,s_t,t_w,car
deepsort_71,183,w_t,t_n,car
deepsort_72,184,e_t,t_s,car
deepsort_73,185,w_t,t_n,car
deepsort_74,186,n_t,t_e,car
deepsort_75,187,n_t,t_e,car
deepsort_76,188,s_t,t_w,car
deepsort_77,189,w_t,t_n,car
deepsort_78,190,w_t,t_n,car
deepsort_79,192,n_t,t_e,car
deepsort_80,193,s_t,t_w,car
deepsort_81,194,w_t,t_n,car
deepsort_82,194,w_t,t_s,car
deepsort_83,199,w_t,t_n,car
deepsort_84,200,n_t,t_s,car
deepsort_85,200,w_t,t_n,car
deepsort_86,203,n_t,t_e,car
deepsort_87,204,e_t,t_s,car
deepsort_88,206,e_t,t_s,car
deepsort_89,210,s_t,t_w,car
deepsort_90,211,s_t,t_w,car
deepsort_91,218,w_t,t_n,car
deepsort_92,223,s_t,t_w,car
deepsort_93,230,e_t,t_s,car
deepsort_94,231,w_t,t_e,car
deepsort_95,236,e_t,t_s,car
deepsort_96,240,w_t,t_n,car
deepsort_97,240,e_t,t_w,car
deepsort_98,244,w_t,t_n,car
deepsort_99,249,w_t,t_n,car
deepsort_100,252,n_t,t_e,car
deepsort_101,252,s_t,t_w,car
deepsort_102,254,w_t,t_s,car
deepsort_103,256,e_t,t_s,car
deepsort_104,257,w_t,t_n,car
deepsort_105,266,w_t,t_n,car
deepsort_106,270,e_t,t_s,car
deepsort_107,271,w_t,t_n,car
deepsort_108,273,w_t,t_n,car
deepsort_109,276,s_t,t_w,car
deepsort_110,278,s_t,t_w,car
deepsort_111,279,n_t,t_e,car
deepsort_112,280,w_t,t_n,car
deepsort_113,282,s_t,t_w,car
deepsort_114,285,w_t,t_n,car
deepsort_115,292,w_t,t_n,car
deepsort_116,294,w_t,t_e,car
deepsort_117,297,n_t,t_e,car
deepsort_118,298,e_t,t_n,car
deepsort_119,298,e_t,t_s,car
