vehicle_id,depart_time,start_edge,end_edge,vtype
deepsort_1,1,n_t,t_e,car
deepsort_2,3,n_t,t_w,car
deepsort_3,6,e_t,t_w,car
deepsort_4,8,e_t,t_w,car
deepsort_5,15,e_t,t_w,car
deepsort_6,15,w_t,t_e,car
deepsort_7,17,e_t,t_w,car
deepsort_8,17,e_t,t_n,car
deepsort_9,17,w_t,t_s,car
deepsort_10,18,w_t,t_e,car
deepsort_11,21,w_t,t_e,car
deepsort_12,22,e_t,t_w,car
deepsort_13,25,w_t,t_s,car
deepsort_14,26,n_t,t_w,car
deepsort_15,28,n_t,t_w,car
deepsort_16,32,w_t,t_e,car
deepsort_17,34,e_t,t_s,car
deepsort_18,42,e_t,t_w,car
deepsort_19,49,w_t,t_s,car
deepsort_20,50,w_t,t_e,car
deepsort_21,51,e_t,t_w,car
deepsort_22,54,w_t,t_e,car
deepsort_23,57,w_t,t_e,car
deepsort_24,59,e_t,t_w,car
deepsort_25,60,e_t,t_w,car
deepsort_26,70,e_t,t_s,car
deepsort_27,71,e_t,t_w,car
deepsort_28,72,e_t,t_w,car
deepsort_29,73,w_t,t_e,car
deepsort_30,75,e_t,t_s,car
deepsort_31,75,n_t,t_s,car
deepsort_32,83,w_t,t_e,car
deepsort_33,83,w_t,t_s,car
deepsort_34,84,e_t,t_w,car
deepsort_35,86,e_t,t_w,car
deepsort_36,89,e_t,t_w,car
deepsort_37,91,n_t,t_e,car
deepsort_38,94,e_t,t_s,car
deepsort_39,100,w_t,t_n,car
deepsort_40,102,n_t,t_s,car
deepsort_41,103,n_t,t_e,car
deepsort_42,110,n_t,t_e,car
deepsort_43,111,e_t,t_w,car
deepsort_44,123,w_t,t_s,car
deepsort_45,126,n_t,t_s,car
deepsort_46,126,s_t,t_n,car
deepsort_47,133,s_t,t_e,car
deepsort_48,134,e_t,t_w,car
deepsort_49,135,e_t,t_s,car
deepsort_50,136,e_t,t_w,car
deepsort_51,141,e_t,t_w,car
deepsort_52,144,s_t,t_e,car
deepsort_53,146,e_t,t_s,car
deepsort_54,151,w_t,t_e,car
deepsort_55,152,e_t,t_w,car
deepsort_56,153,e_t,t_w,car
deepsort_57,153,e_t,t_n,car
deepsort_58,153,n_t,t_s,car
deepsort_59,165,e_t,t_s,car
deepsort_60,179,w_t,t_n,car
deepsort_61,179,w_t,t_s,car
deepsort_62,183,e_t,t_n,car
deepsort_63,183,e_t,t_s,car
deepsort_64,185,n_t,t_e,car
deepsort_65,191,e_t,t_w,car
deepsort_66,192,w_t,t_e,car
deepsort_67,195,e_t,t_w,car
deepsort_68,199,n_t,t_s,car
deepsort_69,201,w_t,t_n,car
deepsort_70,204,e_t,t_w,car
deepsort_71,207,n_t,t_s,car
deepsort_72,212,e_t,t_n,car
deepsort_73,212,n_t,t_e,car
deepsort_74,218,e_t,t_s,car
deepsort_75,219,n_t,t_s,car
deepsort_76,225,s_t,t_n,car
deepsort_77,228,s_t,t_n,car
deepsort_78,232,e_t,t_w,car
deepsort_79,234,e_t,t_s,car
deepsort_80,239,e_t,t_w,car
deepsort_81,239,w_t,t_n,car
deepsort_82,239,n_t,t_s,car
deepsort_83,246,e_t,t_w,car
deepsort_84,248,w_t,t_e,car
deepsort_85,251,w_t,t_n,car
deepsort_86,252,e_t,t_s,car
deepsort_87,254,e_t,t_w,car
deepsort_88,254,e_t,t_s,car
deepsort_89,259,e_t,t_s,car
deepsort_90,261,s_t,t_e,car
deepsort_91,264,w_t,t_e,car
deepsort_92,267,e_t,t_w,car
deepsort_93,270,e_t,t_w,car
deepsort_94,272,e_t,t_w,car
deepsort_95,273,e_t,t_n,car
deepsort_96,274,w_t,t_e,car
deepsort_97,275,e_t,t_n,car
deepsort_98,275,w_t,t_e,car
deepsort_99,282,e_t,t_w,car
deepsort_100,282,s_t,t_w,car
deepsort_101,283,w_t,t_s,car
deepsort_102,286,s_t,t_e,car
deepsort_103,290,w_t,t_s,car
deepsort_104,291,w_t,t_n,car
deepsort_105,291,n_t,t_s,car
deepsort_106,292,e_t,t_n,car
deepsort_107,294,w_t,t_e,car
deepsort_108,297,e_t,t_s,car
